NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
1,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.07.1.01,Penyelenggaraan Infrastruktur Pada Permukiman Di Kawasan Strategis Daerah Provinsi,1.03.07.1.01.0026,Pembangunan Sistem Penyediaan Air Minum (Spam) Jaringan Perpipaan Di Kawasan Strategis Provinsi,5.1.02.02.008.00021,Belanja Jasa Konsultansi Pengawasan Rekayasa-Jasa Pengawas Pekerjaan Konstruksi Teknik Sipil Air,1750000000,Dana Bagi Hasil (DBH)
2,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.01.1.03,Administrasi Barang Milik Daerah Pada Perangkat Daerah,1.03.01.1.03.0003,Koordinasi Dan Penilaian Barang Milik Daerah Skpd,5.1.02.02.001.00053,Belanja Jasa Pengukuran Tanah,100000000,Dana Bagi Hasil (DBH)
3,1.05.0.00.0.00.01.0000,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,1.05.0.00.0.00.01.0000,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,1.05.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.05.01.1.09.0007,Pemeliharaan Aset Tetap Lainnya,5.1.02.03.002.00123,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Rumah Tangga Lainnya (Home Use),10000000,Dana Bagi Hasil (DBH)
4,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0001,UPT Panti Sosial Anak,1.06.04.1.02,Rehabilitasi Sosial Dasar Anak Terlantar Di Dalam Panti,1.06.04.1.02.0005,Penyediaan Perbekalan Kesehatan Di Dalam Panti,5.1.02.01.001.00030,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,2819125,Pendapatan Asli Daerah (PAD)
5,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0001,Cabang Dinas Pendidikan Wilayah I,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,1375000,Dana Bagi Hasil (DBH)
6,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.02.1.02,"Penyediaan Layanan Kesehatan Untuk Ukp Rujukan, Ukm Dan Ukm Rujukan Tingkat Daerah Provinsi",1.02.02.1.02.0011,Pengelolaan Pelayanan Kesehatan Penyakit Menular Dan Tidak Menular,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,18000000,Pendapatan Asli Daerah (PAD)
7,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.04.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00030,Belanja Jasa Tenaga Kebersihan,98839100,Pendapatan Asli Daerah (PAD)
8,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.04.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00030,Belanja Jasa Tenaga Kebersihan,525000000,Dana Bagi Hasil (DBH)
9,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0005,UPT Badan Pelatihan Kesehatan,1.02.01.1.02,Administrasi Keuangan Perangkat Daerah,1.02.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00080,Belanja Honorarium Penanggungjawaban Pengelola Keuangan,20120000,Dana Alokasi Umum (DAU)
10,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0003,Cabang Dinas Pendidikan Wilayah III,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00060,Belanja Tagihan Air,4545000,Dana Bagi Hasil (DBH)
11,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.02,Administrasi Keuangan Perangkat Daerah,1.06.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.02.02.001.00088,Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan operator layanan operasional,415800000,Pendapatan Asli Daerah (PAD)
12,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.01.01.1.01.0002,Koordinasi Dan Penyusunan Dokumen Rka- Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,6600000,Dana Bagi Hasil (DBH)
